date,ticker,shares,buy_price,buy_value
2018-03-28,TITAN,94,942.2999877929688,88576.19885253906
2018-04-30,HINDUNILVR,64,1508.9000244140625,96569.6015625
2018-04-30,DHANI,200,482.1499938964844,96429.99877929688
2018-04-30,SHAKTIPUMP,818,118.0250015258789,96544.45124816895
2018-04-30,TCS,54,1766.050048828125,95366.70263671875
2018-04-30,SRF,201,478.489990234375,96176.48803710938
2018-04-30,PGHL,45,2121.699951171875,95476.49780273438
2018-04-30,NESTLEIND,205,469.8275146484375,96314.64050292969
2018-04-30,PIDILITIND,177,543.0999755859375,96128.69567871094
2018-05-31,GRAPHITE,100,888.4500122070312,88845.00122070312
2018-05-31,KOTAKBANK,67,1334.5999755859375,89418.19836425781
2018-05-31,DABUR,233,383.29998779296875,89308.89715576172
2018-05-31,FSL,1232,72.6500015258789,89504.80187988281
2018-05-31,COLPAL,71,1259.699951171875,89438.69653320312
2018-05-31,TECHM,125,712.3499755859375,89043.74694824219
2018-05-31,M&M,97,922.9500122070312,89526.15118408203
2018-06-29,VIPIND,226,426.20001220703125,96321.20275878906
2018-06-29,PAGEIND,3,27814.25,83442.75
2018-06-29,TCS,52,1847.75,96083.0
2018-06-29,INFY,147,653.5999755859375,96079.19641113281
2018-06-29,BAJFINANCE,420,229.63499450683594,96446.6976928711
2018-07-31,RELIANCE,217,542.1992797851562,117657.2437133789
2018-07-31,ASIANPAINT,81,1451.4000244140625,117563.40197753906
2018-07-31,LTIM,62,1872.9000244140625,116119.80151367188
2018-07-31,BATAINDIA,129,908.9000244140625,117248.10314941406
2018-08-31,TORNTPHARM,120,906.4000244140625,108768.0029296875
2018-08-31,SUNTECK,215,508.79998779296875,109391.99737548828
2018-08-31,INFIBEAM,2299,47.60578918457031,109445.70933532715
2018-08-31,PGHL,31,3512.050048828125,108873.55151367188
2018-08-31,PFIZER,30,3621.300048828125,108639.00146484375
2018-08-31,HAVELLS,150,725.25,108787.5
2018-09-28,UBL,80,1357.3499755859375,108587.998046875
2018-09-28,AXISBANK,179,613.25,109771.75
2018-09-28,LTIM,57,1917.0,109269.0
2018-09-28,JSWSTEEL,287,381.6499938964844,109533.54824829102
2018-09-28,ITC,369,297.75,109869.75
2018-09-28,DIVISLAB,83,1310.9000244140625,108804.70202636719
2018-09-28,MPHASIS,93,1173.25,109112.25
2018-09-28,ADANIENT,841,130.60000610351562,109834.60513305664
2018-09-28,TECHM,147,745.5,109588.5
2018-09-28,SUVEN,8764,12.535740852355957,109863.23283004761
2018-09-28,HCLTECH,202,543.9000244140625,109867.80493164062
2018-09-28,LTTS,63,1736.25,109383.75
2018-10-31,AUROPHARMA,126,791.5499877929688,99735.29846191406
2018-10-31,ICICIBANK,281,355.0,99755.0
2018-10-31,HEG,117,854.3900146484375,99963.63171386719
2018-10-31,BIOCON,303,329.5,99838.5
2018-10-31,NAUKRI,316,315.7900085449219,99789.64270019531
2018-10-31,WIPRO,805,124.20002746582031,99981.02210998535
2018-10-31,INTELLECT,398,251.10000610351562,99937.80242919922
2018-10-31,GRAPHITE,105,951.6500244140625,99923.25256347656
2018-10-31,NESTLEIND,197,507.3924865722656,99956.31985473633
2018-10-31,HAVELLS,154,645.7999877929688,99453.19812011719
2018-11-30,UBL,79,1239.9000244140625,97952.10192871094
2018-11-30,AXISBANK,157,625.75,98242.75
2018-11-30,ADANIPOWER,8879,11.100000381469727,98556.9033870697
2018-11-30,GLENMARK,150,653.1500244140625,97972.50366210938
2018-11-30,APOLLOHOSP,77,1264.800048828125,97389.60375976562
2018-11-30,BOSCHLTD,5,18973.25,94866.25
2018-11-30,HCLTECH,194,507.5,98455.0
2018-11-30,MUTHOOTFIN,217,452.6000061035156,98214.20132446289
2018-12-31,MARICO,266,373.3999938964844,99324.39837646484
2018-12-31,ABFRL,499,199.605712890625,99603.25073242188
2018-12-31,CUMMINSIND,117,849.7000122070312,99414.90142822266
2018-12-31,COLPAL,74,1343.550048828125,99422.70361328125
2018-12-31,SRF,249,399.92999267578125,99582.56817626953
2018-12-31,HAVELLS,144,691.5,99576.0
2018-12-31,LT,69,1437.550048828125,99190.95336914062
2018-12-31,PFC,1160,85.87999725341797,99620.79681396484
2018-12-31,UPL,197,505.5,99583.5
